mz,time,Name,note
177.0572,14.9203,Tefluthrin ,mz0
331.1767,13.199,Tetramethrin ,mz0
370.0123,7.4073,Transfluthrin ,mz0
386.2455,17.735,Acequinocyl ,mz0
340.8992,13.2951,Bromopropylate ,mz0
411.0363,11.7542,Carfentrazone ethyl ,mz0
324.0351,12.0236,Chlorobenzilate,mz0
331.0008,8.8085,Chlozolinate ,mz0
329.9013,8.0645,DCPA methyl ester (Chlorthal-dimethyl) ,mz0
383.132,10.8059,Fluazifop-p-butyl ,mz0
279.1466,7.4271,Metalaxyl ,mz0
170.0724,4.9876,2-Phenylphenol ,mz0
376.898,14.0963,Bromfenvinfos-methyl ,mz0
346.8455,11.4796,Bromfenvinphos ( E ),mz0
391.8828,20.4197,Bromophos ethyl ,mz0
363.8496,21.3047,Bromophos methyl ,mz0
341.9733,11.6878,Carbophenothion ,mz0
357.9691,15.8107,Chlorfenvinphos ,mz0
359.9568,11.1504,Chlorthiophos -1,mz0
359.957,10.8316,Chlorthiophos -2,mz0
359.9567,10.6151,Chlorthiophos -3,mz0
362.0139,16.035,Coumaphos ,mz0
310.0247,11.7215,Edifenphos ,mz0
383.9871,11.1099,Ethion ,mz0
303.1053,9.8844,Fenamiphos ,mz0
319.8995,8.6612,Fenchlorphos (Ronnel) ,mz0
278.0193,8.0756,Fenthion ,mz0
411.8347,11.2995,Iodofenphos ,mz0
409.8696,22.2185,Leptophos ,mz0
330.0343,3.8214,Malathion ,mz0
240.0215,4.8706,Methacrifos ,mz0
371.9344,9.9967,Profenofos ,mz0
112.9279,9.874,Prothiofos ,mz0
322.0221,5.7704,Sulfotepp ,mz0
322.0277,11.4646,Sulprofos ,mz0
288.0436,6.4173,Terbufos ,mz0
124.9998,9.7071,Tetrachlorvinphos ,mz0
299.9574,11.1459,Tolclofos-methyl ,mz0
299.9572,10.8271,Tolclofos-methyl-1,mz0
274.0282,6.6478,Disulfoton,mz0
246.0296,6.4618,Fonofos ,mz0
263.0013,7.2792,Methyl parathion ,mz0
291.0322,8.14,Parathion (ethyl parathion) ,mz0
260.0124,5.8944,Phorate ,mz0
338.2086,12.7065,Piperonyl butoxide ,mz0
313.0648,11.4868,Triazophos ,mz0
325.8799,10.0804,PCB-111,mz0
325.8797,10.0804,PCB-116,mz0
325.8799,9.0183,PCB-121,mz0
325.8799,9.9996,PCB-125,mz0
359.8407,9.9412,PCB-140,mz0
359.8407,8.7596,PCB-142,mz0
359.8408,10.8742,PCB-143,mz0
325.8797,11.1191,PCB-148,mz0
359.8408,10.9707,PCB-150,mz0
359.8409,10.0804,PCB-155,mz0
359.8408,9.7048,PCB-160,mz0
359.8408,9.2547,PCB-162,mz0
359.8408,12.0627,PCB-168,mz0
393.8018,12.6946,PCB-188,mz0
255.9609,11.4363,PCB-23,mz0
255.9608,11.1774,PCB-39,mz0
291.919,6.9511,PCB-62,mz0
291.9191,7.8126,PCB-68,mz0
325.8798,7.9773,PCB-80,mz0
291.919,8.4363,PCB-88,mz0
325.8799,9.0789,PCB-94,mz0
325.8798,10.1932,PCB-109,mz0
325.88,9.734,PCB-112,mz0
325.8799,9.7865,PCB-120,mz0
359.841,12.5446,PCB-159,mz0
393.802,12.0505,PCB-186,mz0
393.802,13.5877,PCB-192,mz0
429.7599,14.5922,PCB-198,mz0
255.9609,6.3314,PCB-30,mz0
219.9841,7.8185,PCB-43,mz0
291.919,9.1687,PCB-55,mz0
291.919,8.7187,PCB-58,mz0
291.919,8.9243,PCB-76,mz0
325.8798,10.8918,PCB-106,mz0
325.88,10.7728,PCB-108,mz0
291.919,9.8275,PCB-152,mz0
359.8409,12.3733,PCB-166,mz0
391.8048,12.7646,PCB-177,mz0
393.802,12.4316,PCB-182,mz0
393.8018,11.3533,PCB-184,mz0
429.7596,13.4639,PCB-204,mz0
255.9609,7.6594,PCB-36,mz0
291.919,8.3748,PCB-72,mz0
291.919,9.9092,PCB-78,mz0
291.919,9.7063,PCB-79,mz0
325.8798,9.4423,PCB-89,mz0
325.8799,8.4363,PCB-96,mz0
325.8798,8.9024,PCB-98,mz0
325.8798,8.9022,PCB-102,mz0
221.9998,6.4545,PCB-11,mz0
325.8798,9.5181,PCB-113,mz0
325.8798,12.3625,PCB-126,mz0
325.8799,11.5973,PCB-127,mz0
359.8409,11.1109,PCB-133,mz0
359.8407,10.787,PCB-139,mz0
359.8408,9.983,PCB-145,mz0
359.8406,11.2547,PCB-161,mz0
255.9608,7.3506,PCB-21,mz0
255.9608,7.9326,PCB-38,mz0
219.984,7.1646,PCB-50,mz0
291.9189,8.5889,PCB-57,mz0
291.9189,8.8249,PCB-61,mz0
255.9608,7.9415,PCB-65,mz0
325.8799,9.9057,PCB-86,mz0
325.8799,8.0337,PCB-104,mz0
325.8799,11.1325,PCB-114,mz0
221.9998,6.5193,PCB-12,mz0
323.8827,9.7347,PCB-123,mz0
359.8409,12.203,PCB-129,mz0
393.8017,11.8431,PCB-137,mz0
357.8441,12.9834,PCB-156,mz0
357.8439,12.4437,PCB-167,mz0
393.8017,11.8521,PCB-176,mz0
359.8407,12.8357,PCB-185,mz0
391.8042,14.8918,PCB-189,mz0
255.9608,7.3745,PCB-33,mz0
289.9218,7.6298,PCB-49,mz0
291.9189,8.1738,PCB-59,mz0
291.9189,8.787,PCB-63,mz0
291.9189,8.3921,PCB-64,mz0
291.919,10.3427,PCB-77,mz0
325.8798,10.1264,PCB-85,mz0
325.8799,9.1018,PCB-91,mz0
325.8798,9.9084,PCB-97,mz0
325.8797,8.634,PCB-100,mz0
325.8799,10.0032,PCB-117,mz0
325.8799,11.17,PCB-122,mz0
325.8798,10.7413,PCB-124,mz0
221.9998,6.5496,PCB-13,mz0
359.8406,11.9088,PCB-130,mz0
221.9998,6.1977,PCB-14,mz0
359.8408,11.1791,PCB-154,mz0
359.8408,12.0228,PCB-163,mz0
325.8798,10.26,PCB-165,mz0
393.8019,12.3472,PCB-175,mz0
429.7597,13.1773,PCB-200,mz0
429.7596,13.9974,PCB-201,mz0
429.7598,13.3977,PCB-202,mz0
255.9607,8.1487,PCB-35,mz0
219.9841,7.444,PCB-51,mz0
219.9841,7.359,PCB-53,mz0
291.919,6.9727,PCB-54,mz0
291.9189,7.76,PCB-73,mz0
291.9189,7.9313,PCB-75,mz0
291.9189,10.1201,PCB-81,mz0
325.8798,9.472,PCB-90,mz0
323.8826,9.1906,PCB-101,mz0
323.8828,10.5861,PCB-105,mz0
323.8831,9.9342,PCB-118,mz0
325.88,9.43,PCB-119,mz0
359.8409,12.65,PCB-128,mz0
359.8409,10.86,PCB-134,mz0
359.841,9.96,PCB-136,mz0
359.8409,10.45,PCB-144,mz0
221.9998,5.84,PCB-15,mz0
357.8439,10.1844,PCB-151,mz0
357.8435,13.0989,PCB-157,mz0
359.8409,11.7337,PCB-158,mz0
393.802,14.5096,PCB-190,mz0
393.8017,13.9052,PCB-191,mz0
255.9608,7.3754,PCB-20,mz0
463.7209,15.7538,PCB-207,mz0
463.7207,15.5146,PCB-208,mz0
225.043,17.7049,PCB-209,mz0
255.9608,6.6608,PCB-27,mz0
255.9609,7.0012,PCB-29,mz0
255.9608,6.9339,PCB-34,mz0
219.9842,8.5003,PCB-40,mz0
219.9841,8.1998,PCB-42,mz0
291.919,7.9265,PCB-47,mz0
291.919,7.7362,PCB-69,mz0
325.88,9.37,PCB-92,mz0
325.8799,8.9306,PCB-93,mz0
152.0621,5.521,PCB-10,mz0
325.8799,8.5165,PCB-103,mz0
325.8798,10.7908,PCB-107,mz0
325.88,10.0401,PCB-115,mz0
359.8408,11.0936,PCB-131,mz0
359.8408,11.4114,PCB-132,mz0
359.8408,10.5854,PCB-135,mz0
359.8409,11.7177,PCB-141,mz0
325.88,10.63,PCB-149,mz0
359.8408,11.31,PCB-164,mz0
186.0231,5.77,PCB-17,mz0
393.802,13.24,PCB-171,mz0
391.8056,13.2179,PCB-172,mz0
391.8052,11.8425,PCB-178,mz0
391.8046,12.197,PCB-183,mz0
391.8047,13.3963,PCB-193,mz0
425.7659,14.424,PCB-196,mz0
429.76,13.6042,PCB-197,mz0
429.7599,16.2832,PCB-205,mz0
255.9608,6.6664,PCB-24,mz0
255.9608,7.103,PCB-26,mz0
255.9608,6.7993,PCB-32,mz0
255.9608,8.2901,PCB-37,mz0
219.9841,8.3562,PCB-41,mz0
219.9842,7.548,PCB-45,mz0
291.9189,7.6713,PCB-46,mz0
219.9841,7.9077,PCB-48,mz0
221.9998,5.9958,PCB-5,mz0
291.919,9.3499,PCB-60,mz0
221.9998,5.8123,PCB-7,mz0
219.9841,8.9679,PCB-70,mz0
325.88,9.7843,PCB-83,mz0
325.8799,9.3836,PCB-84,mz0
291.9189,8.9724,PCB-95,mz0
188.0386,4.9356,PCB-1,mz0
323.8833,9.2971,PCB-110,mz0
357.8438,11.7202,PCB-138,mz0
357.8435,10.9259,PCB-146,mz0
359.8409,10.6823,PCB-147,mz0
357.8439,11.0718,PCB-153,mz0
186.0231,6.7801,PCB-16,mz0
393.8019,13.3724,PCB-173,mz0
393.8018,13.009,PCB-174,mz0
393.802,11.6656,PCB-179,mz0
393.8019,13.1257,PCB-181,mz0
391.804,12.041,PCB-187,mz0
186.0231,6.2186,PCB-19,mz0
425.7663,15.7478,PCB-194,mz0
429.7603,15.1622,PCB-195,mz0
425.7665,14.2703,PCB-199,mz0
188.0387,5.3096,PCB-2,mz0
425.7659,14.424,PCB-203,mz0
463.7211,16.6465,PCB-206,mz0
255.9608,7.5093,PCB-22,mz0
255.9609,7.1275,PCB-25,mz0
188.0387,5.3537,PCB-3,mz0
152.062,5.5237,PCB-4,mz0
291.919,9.3314,PCB-56,mz0
221.9997,5.9295,PCB-6,mz0
289.9216,8.7294,PCB-66,mz0
291.919,8.6866,PCB-67,mz0
291.9189,8.337,PCB-71,mz0
289.9216,8.5902,PCB-74,mz0
221.9998,6.0104,PCB-8,mz0
325.88,10.4802,PCB-82,mz0
323.8826,9.2747,PCB-87,mz0
221.9998,5.8194,PCB-9,mz0
323.8828,9.2063,PCB-99,mz0
169.0648,5.7693,BDE-1,mz0
141.0699,5.8698,BDE-2,mz0
247.9832,5.9798,BDE-3,mz0
168.0569,7.2398,BDE-10,mz0
327.8916,8.0249,BDE-11,mz0
327.8915,8.2345,BDE-12,mz0
327.8916,8.2345,BDE-13,mz0
327.8915,8.4575,BDE-15,mz0
168.0569,7.7527,BDE-7,mz0
168.057,8.1806,BDE-8,mz0
403.8037,10.2406,BDE-17,mz0
245.9675,10.6579,BDE-25,mz0
245.9677,10.7128,BDE-28,mz0
245.9676,9.4895,BDE-30,mz0
245.9675,10.3304,BDE-32,mz0
245.9677,11.0328,BDE-33,mz0
405.8019,11.3203,BDE-35,mz0
405.802,11.6498,BDE-37,mz0
325.8757,13.5567,BDE-47,mz0
325.8759,13.4696,BDE-49,mz0
325.8757,14.038,BDE-66,mz0
325.876,13.5656,BDE-71,mz0
485.7105,13.2136,BDE-75,mz0
325.8759,15.1874,BDE-77,mz0
403.7863,17.1966,BDE-99,mz0
403.7865,16.4774,BDE-100,mz0
483.6949,17.9316,BDE-114,mz0
403.7864,16.958,BDE-115,mz0
403.7864,17.1478,BDE-116,mz0
563.6223,18.1556,BDE-126,mz0
403.7867,18.1019,BDE-85,mz0
483.6946,19.5035,BDE-138,mz0
483.6942,19.0461,BDE-153,mz0
483.6942,18.4855,BDE-154,mz0
483.6949,17.9563,BDE-155,mz0
483.6945,19.5552,BDE-166,mz0
561.6062,21.1498,BDE-181,mz0
561.6064,20.2356,BDE-183,mz0
561.6064,21.3517,BDE-190,mz0
172.0063,4.6453,bis(2-Chloroethoxy)methane,mz0
93.0101,3.0167,bis(2-Chloroethyl)ether,mz0
204.0323,5.4102,4-Chlorophenyl phenyl ether,mz0
390.2772,16.1287,bis(2-Ethylhexyl)phthalate,mz0
168.0793,5.5237,N-Nitrosodi-n-propylamine,mz0
198.0785,10.7675,N-Nitrosodiphenylamine,mz0
162.023,4.2895,2-Chloronaphthalene,mz0
145.9687,3.0644,"1,2-Dichlorobenzene",mz0
145.9687,3.0945,"1,3-Dichlorobenzene",mz0
145.9686,3.108,"1,4-Dichlorobenzene",mz0
179.9295,3.0945,"1,2,4-Trichlorobenzene",mz0
192.9372,9.8605,Endosulfan I ,mz0
338.8723,11.2041,Endosulfan II ,mz0
271.8105,12.1712,Endosulfan sulfate,mz0
262.8573,10.4633,Endrin,mz0
271.8098,7.6869,Heptachlor,mz0
352.8436,9.0953,Heptachlor epoxide (Isomer B)-1,mz0
122.0363,14.2502,Benzoic acid,mz0
108.0569,4.9215,2-Methylphenol,mz0
108.057,3.7881,4-Methylphenol,mz0
195.9244,4.1551,"2,4,5-Trichlorophenol",mz0
93.0574,3.1257,Aniline,mz0
108.057,3.7811,Benzyl alcohol,mz0
127.0184,5.0646,4-Chloroaniline,mz0
142.0774,3.826,2-Methylnaphthalene,mz0
138.0424,4.4072,2-Nitroaniline,mz0
138.0424,4.8091,3-Nitroaniline,mz0
138.0425,5.3955,4-Nitroaniline,mz0
184.0994,5.3952,Benzidine,mz0
252.0217,16.3889,"3,3'-Dichlorobenzidine-2",mz0
152.0619,4.6836,Acenaphthylene,mz0
276.0938,19.4652,"Benzo(g,h,i)perylene",mz0
142.0181,3.7464,4-Chloro-3-methylphenol,mz0
128.0024,3.1907,2-Chlorophenol,mz0
161.9633,3.0347,"2,4-Dichlorophenol",mz0
122.0726,9.6951,"2,4-Dimethylphenol",mz0
198.0272,5.4362,"2-Methyl-4,6-dinitrophenol",mz0
139.0263,3.0024,2-Nitrophenol,mz0
139.0264,5.0262,4-Nitrophenol,mz0
94.0414,3.7852,Phenol,mz0
195.9241,4.1195,"2,4,6-Trichlorophenol",mz0
164.1402,4.8246,Acenaphthene-d10,mz0
240.1686,13.0783,Chrysene-d12,mz0
149.989,17.6591,"1,4-Dichlorobenzene-d4",mz0
136.1122,3.1416,Naphthalene-d8,mz0
264.1693,17.5581,Perylene-d12,mz0
188.1401,6.5174,Phenanthrene-d10,mz0
113.0598,9.5196,potassium sorbate,mz0
138.0312,8.4987,4-hydroxybenzoic acid,mz0
152.0477,4.5711,methyl paraben,mz0
154.0261,5.3222,protocatechuic acid,mz0
166.0625,4.9384,ethyl paraben,mz0
180.078,5.0708,isopropyl paraben,mz0
194.0939,4.9425,butyl paraben,mz0
228.0783,9.5555,benzyl paraben,mz0
236.1407,8.4291,heptyl paraben,mz0
180.0778,5.4154,propyl paraben,mz0
194.0937,4.9461,isobutyl paraben,mz0
206.1669,4.8462,"Phenol, 2-octyl-",mz0
220.1825,4.8417,Nonylphenol,mz0
264.2082,8.3182,Nonylphenol monoethoxylate,mz0
284.077,5.8491,"2-Bromo-4-(2,4,4-trimethylpentan-2-yl)phenol",mz0
308.2346,11.4901,Nonylphenol diethoxylate,mz0
204.9693,6.8733,Chloramben,mz0
219.9689,6.0202,"2,4-Dichlorophenoxyacetic acid",mz0
219.9689,5.5277,Dicamba,mz0
219.9689,5.5277,Dichlorprop Acid,mz0
233.9845,5.9966,Picloram,mz0
195.9357,5.0024,Bentazon,mz0
240.0565,8.2414,Fenoprop,mz0
267.9456,7.1746,Acifluorfen,mz0
189.9584,4.7008,"3,5-dichlorobenzoic acid",mz0
200.0235,5.6099,MCPA,mz0
214.0392,5.6324,MCPP,mz0
248.0005,7.261,"2-(2,4-dichlorophenoxy)butanoic acid",mz0
253.93,7.2418,"2,4,5-trichlorophenoxyacetic acid",mz0
140.0234,4.1743,Trimethyl Phosphate,mz0
224.1196,7.88,Tripropyl Phosphate,mz0
167.0468,5.5214,Tributyl Phosphate,mz0
340.0847,13.301,(3-Methylphenyl) diphenyl phosphate (CDP),mz0
340.0851,13.6331,(3-Methylphenyl) diphenyl phosphate (CDP),mz0
362.1645,12.6579,2-Ethylhexyldiphenylphosphate,mz0
368.117,14.3757,Tri-O-cresyl phosphate,mz0
251.1795,17.8425,Isodecyl Diphenyl Phosphate,mz0
407.1407,21.8235,Tris(2-ethylhexyl) phosphate,mz0
258.1044,13.2953,Diisopropylphenylphosphate,mz0
224.1196,18.0122,Triisopropyl Phosphate,mz0
250.059,18.867,Tris(2-carboxyethyl)phosphine,mz0
627.8094,21.1561,"4,4'-Isopropylidenebis[2-(2,6-dibromophenoxy)ethanol]",mz0
236.0,19.4429,Tris(1-chloro-2-propyl) phosphate,mz0
368.1159,16.288,Tri-P-cresyl phosphate,mz0
98.9842,11.4456,"Tris(1,3-dichloro-2-propyl)phosphate",mz0
493.7133,9.8206,"Bis(2,3-dibromopropyl) hydrogen phosphate",mz0
539.7573,18.6414,Tetrabromobisphenol A,mz0
567.7888,18.0077,Tetrabromobisphenol A Bismethyl Ether,mz0
200.8732,18.766,"Tris(2,3-dibromopropyl) phosphate",mz0
647.4249,21.8191,tris(tribromoneopentyl),mz0
213.8813,5.4491,Pentaerythritol tribromide,mz0
326.0035,7.4335,Tris(2-chloropropyl) phosphate,mz0
369.8021,6.2455,"Allyl 2,4,6-tribromophenyl ether",mz0
368.116,15.2384,Tri-M-cresyl phosphate,mz0
104.815,19.195,"1,2,5,6-Tetrabromocyclooctane",mz0
445.7148,8.5803,"2-bromoallyl-2,4,6-tribromophenyl ether",mz0
477.6649,17.5034,Tetrabromophthalic Acid,mz0
561.6734,18.6242,Tetrabromobisphenol S,mz0
619.8222,24.2075,Tetrabromobisphenol A Diallyl Ether,mz0
681.8648,19.7405,"1,2-Bis(2,4,6-tribromophenoxy)ethane",mz0
329.7708,5.5356,"2,4,6-tris(2,4,6-tribromophenoxy)-1,3,5-triazine",mz0
181.9725,3.0132,3-Bromostyrene,mz0
228.0781,9.76,Benzophenone-3,mz0
254.1663,8.4945,4-Methyl-benzylidene camphor,mz0
310.1587,23.4242,Avobenzone,mz0
326.0029,5.4033,Tri(Chloropropyl) phosphate (TCPP),mz0
327.773,5.5325,"2,4,6-Tribromophenol",mz0
310.1587,23.4242,Tetrachlorobisphenol A,mz0
299.2374,23.119,tris(2-Butoxyethyl) phosphate (TBEP),mz0
437.6744,12.2742,"2,3,4,5-Tetrabromobenzoic acid",mz0
437.6744,16.5164,"2,3,4,5-Tetrabromobenzoic acid_1",mz0
589.7047,19.5318,tetrabromobisphenol S bismethyl ether,mz0
651.8118,23.3057,tetrabromobisphenol A bisglycidyl ether,mz0
181.9725,3.0122,4-Bromostyrene,mz0
208.0051,4.3073,"cis/trans-3-(2,2-dichlorovinyl)-2,2-dimethylcylo",mz0
208.0051,4.3073,"cis/trans-3-(2,2-dichlorovinyl)-2,2-dimethylcylo",mz0
214.0624,7.1037,3-Phenoxybenzoic acid,mz0
159.0602,6.9587,4-fluro-3-phenoxy-benzoic acid,mz0
262.1566,7.1644,Homosalate,mz0
277.2036,10.9181,Octyl-dimethyl-PABA,mz0
290.1879,11.5232,Occtyl-Methoxycinnamate (OMC),mz0
141.9866,23.4875,"O,O-Dimethyl Thiophosphate",mz0
137.0363,5.5149,"O,O-Diethyl Phosphonate",mz0
157.9621,6.637,"O,O-Dimethyl dithiophosphate",mz0
131.9811,19.1132,"O,O-Diethylthiophosphoric Acid",mz0
185.9932,7.3222,"O,O-Diethyl dithiophosphate",mz0
144.8926,19.212,Malathion Diacid,mz0
164.0832,3.7285,Carbofuran phenol,mz0
292.1296,9.2039,Mono(2-ethyl-5-oxohexyl) phthalate,mz0
294.1468,9.2106,Mono(2-ethyl-5-hydroxyhexyl) phthalate,mz0
486.128,22.6349,Mono(5-carboxy-2-ethylpentyl) phthalate,mz0
239.1795,18.1822,Tripentyl Phosphate,mz0
228.1144,10.0232,Bisphenol A,mz0
154.0616,4.8375,Mono(3-carboxypropyl) phthalate,mz0
